1,A1 Tyres,"Kensington Street, Keighley, BD21 1PW",BD21 1PW,53.8629,-1.91625,4/1/1990,3900,IF3,WORKSHOP AND PREMISES,10/1/2017,Y,Occupied,,,Small Business Rates Relief,1/10/2017,,,,,, ‹¨«-   ,
2,St John The Evangelist Academy,"St John Rc First School, Beacon Road, Bradford, BD6 3DQ",BD6 3DQ,53.77084,-1.80146,4/1/1990,25250,EL,SCHOOL AND PREMISES,10/1/2016,Y,Occupied,,,Mandatory Charity Relief,1/10/2016,,,,,," ‹¨«2,545.20 ",
3,Kehoe'S Limited,"The Venue, Park Lane, Bradford, BD5 0JL",BD5 0JL,53.78453,-1.75915,4/1/1990,6250,CL,PUBLIC HOUSE AND PREMISES,4/1/2016,,Empty,Empty Charge Retail,1/7/2016,,,,,,,," ‹¨«3,150.00 ",
4,Unit Q,"Blackshaw Mills, Halifax Road, Bradford, BD6 2HL",BD6 2HL,53.75757,-1.80099,4/1/1990,4250,IF3,WORKSHOP AND PREMISES,8/26/2019,Y,Occupied,,,Small Business Rates Relief,26/08/2019,,,,,, ‹¨«-   ,
5,Crossflatts Old People Association,"Community Centre, St Aidans Square, Crossflatts, Bingley, BD16 2BN",BD16 2BN,53.86139,-1.84458,4/1/1990,2800,LC,COMMUNITY CENTRE AND PREMISES,4/1/2011,Y,Occupied,,,Mandatory Charity Relief,1/4/2011,,,,,, ‹¨«282.24 ,
6,Bingley Chamber Of Trade And Commerce,"Store, Queens Court, Bingley, BD16 2LT",BD16 2LT,53.8485,-1.83902,4/1/1990,1475,CW3,STORE AND PREMISES,3/1/2017,Y,Occupied,,,Small Business Rates Relief,1/3/2017,,,,,, ‹¨«-   ,
7,Stables Rear Of,"62, Branksome Drive, Shipley, BD18 4BE",BD18 4BE,53.83643,-1.81159,4/1/1990,900,LX,STABLES AND PREMISES,1/3/1992,Y,Occupied,,,Small Business Rates Relief,1/4/2007,,,,,, ‹¨«-   ,
8,Cobley And Cockshott Ltd,"19, Bridge Street, Keighley, BD21 1AA",BD21 1AA,53.86508,-1.91071,4/1/1990,3550,CS,SHOP AND PREMISES,8/1/2006,Y,Occupied,,,Small Business Rates Relief,1/4/2007,,,,,, ‹¨«-   ,
9,The Bank,"Cleasby Road, Menston, Ilkley, LS29 6JE",LS29 6JE,53.89089,-1.73562,4/1/1990,3200,CS,SHOP AND PREMISES,12/4/2003,Y,Occupied,,,Small Business Rates Relief,1/4/2007,,,,,, ‹¨«-   ,
10,Santander Uk Plc,"Abbey National, 9, Nelson Street, Bradford, BD1 5AN",BD1 5AN,53.79037,-1.75136,1/14/1999,985000,CO,OFFICES AND PREMISES,1/14/1999,Y,Occupied,,,,,,,,,," ‹¨«594,986.43 ",
11,Bardsley Powell Estates,"4a, Little Horton Green, Bradford, BD5 0NG",BD5 0NG,53.78493,-1.76503,4/1/1990,1400,CW3,STORE AND PREMISES,9/1/2007,Y,Occupied,,,,,,,,,, ‹¨«678.17 ,
12,Salem Athletic Cricket Club,"Sports Ground, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81357,-1.79159,4/1/1990,5900,LS,SPORTS GROUND AND PREMISES,4/1/1990,Y,Occupied,,,Mandatory Sport Relief,18/09/2005,,,,,, ‹¨«594.72 ,
13,Lalas,"55, Toller Lane, Bradford, BD8 9DD",BD8 9DD,53.80468,-1.77985,4/1/1990,50500,CR,,12/1/2017,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«16,530.33 ",
14,Empire House Piccadilly Limited,"8-10, Piccadilly, Bradford, BD1 3LS",BD1 3LS,53.79558,-1.75335,5/1/1998,0,CO,OFFICES AND PREMISES,11/17/2017,,Empty,Exempt Listed Building,17/11/2017,,,,,,,, ‹¨«-   ,
15,Storage,"1st Floor, Drill Parade, Bradford, BD8 7HY",BD8 7HY,53.80294,-1.7621,4/1/1992,0,CW3,,7/18/2017,,Empty,Exempt below RV,2/6/2018,,,,,,,, ‹¨«-   ,
16,Tsb Banking Group Plc,"74-76, Towngate, Keighley, BD21 3QE",BD21 3QE,53.86757,-1.90727,4/1/1990,53000,CS1,BANK AND PREMISES,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«26,712.00 ",
17,Clifton Mill,"Upper Ground Floor, Clifton Street, Bradford, BD8 7DA",BD8 7DA,53.80571,-1.76263,1/30/1995,8500,CW,WAREHOUSE AND PREMISES,11/15/2016,Y,Occupied,,,Small Business Rates Relief,15/11/2016,,,,,, ‹¨«-   ,
18,Hbcl Coldstores Limited,"Unit 9, G B Business Park, Cutler Heights Lane, Bradford, BD4 9HZ",BD4 9HZ,53.78125,-1.71629,10/5/1992,29000,CW,WAREHOUSE AND PREMISES,10/29/2004,Y,Occupied,,,,,,,,,," ‹¨«14,239.00 ",
19,Tote Bookmakers Limited,"228, High Street, Wibsey, Bradford, BD6 1QP",BD6 1QP,53.76693,-1.77439,4/1/1990,7600,CS,SHOP AND PREMISES,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«3,731.60 ",
20,The Congregational Federation Limited,"405, Thornton Road, Thornton, Bradford, BD13 3JN",BD13 3JN,53.79046,-1.85362,2/17/1997,4650,CS,SHOP AND PREMISES,3/1/2015,Y,Occupied,,,Mandatory Charity Relief,27/07/2015,,,,,, ‹¨«468.72 ,
21,The Secretary Northcliffe Golf Club,"Northcliffe Golf Course, High Bank Lane, Shipley, BD18 4LJ",BD18 4LJ,53.82866,-1.79801,4/1/1990,42750,LS2,GOLF COURSE AND PREMISES,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«20,990.25 ",
22,S&M Kirkgate Limited,"6, Piccadilly, Bradford, BD1 3LW",BD1 3LW,53.79515,-1.75283,5/1/1998,12500,CO,OFFICES AND PREMISES,12/23/2011,,Empty,Exempt Listed Building,23/12/2011,,,,,,,, ‹¨«-   ,
23,Mahmoods (Franchising) Limited,"Unit 2, Red Oak House, Duncombe Street, Bradford, BD8 9AJ",BD8 9AJ,53.79679,-1.78167,7/3/1993,18500,CW,WAREHOUSE AND PREMISES,6/1/2016,,Empty,Exempt not Relevent Hereditament,9/5/2017,,,,,,,, ‹¨«-   ,
24,Penyffordd Pharmacy Limited,"238, Whetley Lane, Bradford, BD8 9DJ",BD8 9DJ,53.80341,-1.77624,4/1/1990,6600,CS,PHARMACY AND PREMISES,6/30/2006,Y,Occupied,,,Small Business Rates Relief,1/7/2012,,,,,, ‹¨«-   ,
25,The Upstagers Theatre Charity Limited,"Unit 6, 1st Floor, Booths Yard, Nile Road, Ilkley, LS29 8HJ",LS29 8HJ,53.92581,-1.82178,4/1/1990,4750,IF3,WORKSHOP AND PREMISES,8/10/2010,Y,Occupied,,,Mandatory Charity Relief,10/8/2010,,,,,, ‹¨«478.80 ,
26,Primesight Limited,"Advert Rights No 1344 02-06, Baildon Bridge, Otley Road, Baildon, BD17 7ER",BD17 7ER,53.83815,-1.77241,4/1/1990,8000,CA,ADVERTISING RIGHT AND PREMISES,9/1/2009,Y,Occupied,,,,,,,,,," ‹¨«3,928.00 ",
27,Lodge Of The Three Graces No 408,"Masonic Hall Opp, Police Station, Mill Hey, Haworth, Keighley, BD22 8NA",BD22 8NA,53.83236,-1.94672,4/1/1990,5900,CL2,CLUB AND PREMISES,4/1/1990,Y,Occupied,,,Small Business Rates Relief,1/4/2007,,,,,, ‹¨«-   ,
28,Co-Operative Group Limited,"Shop, 24, Station Road, Oxenhope, Keighley, BD22 9JJ",BD22 9JJ,53.811,-1.95092,4/1/1990,27000,CS,,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«13,257.00 ",
29,Raiseprint Limited,"Unit E1-2, Royd Ings Avenue, Keighley, BD21 3QY",BD21 3QY,53.86607,-1.9072,4/1/1990,42750,IF,,8/22/1995,Y,Occupied,,,,,,,,,," ‹¨«20,990.25 ",
30,Edwick Memorial Hall Trust Limited,"The Birches, Otley Road, Eldwick, Bingley, BD16 3EQ",BD16 3EQ,53.86029,-1.81275,4/1/1990,4300,CL,PUBLIC HOUSE AND PREMISES,4/1/1990,Y,Occupied,,,Mandatory Charity Relief,1/4/1998,,,Retail Discount,,, ‹¨«288.96 ,
31,The Childrens Place Limited,"Creche, 83, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81357,-1.79159,6/10/1998,16500,EN1,DAY NURSERY AND PREMISES,1/1/2013,Y,Occupied,,,,,,,,,," ‹¨«8,101.50 ",
32,Empire House Piccadilly Limited,"3rd Floor, 8-10, Piccadilly, Bradford, BD1 3LS",BD1 3LS,53.79558,-1.75335,5/1/1998,18500,CO,OFFICES AND PREMISES,11/16/2017,,Empty,Exempt Listed Building,16/11/2017,,,,,,,, ‹¨«-   ,
33,Sofa Doctor Ltd,"103, Legrams Lane, Bradford, BD7 2AA",BD7 2AA,53.79117,-1.77907,4/1/1990,5600,CS,,4/6/2018,Y,Occupied,,,Small Business Rates Relief,6/4/2018,,,,,, ‹¨«-   ,
34,Co-Operative Group Limited,"6, Tyrrel Street, Bradford, BD1 1RJ",BD1 1RJ,53.79385,-1.75364,4/1/1990,31000,CS1,,3/17/1992,Y,Occupied,,,,,,,,,," ‹¨«15,221.00 ",
35,Car Parking Bay,"No 19, West Riding House, Cheapside, Bradford, BD1 4HR",BD1 4HR,53.79561,-1.75257,4/1/1990,600,CP1,CAR PARKING SPACE AND PREMISES,4/1/2009,Y,Occupied,,,,,,,,,, ‹¨«294.60 ,
36,Warehouse And Premises,"Worth Way, Keighley, BD21 5AJ",BD21 5AJ,53.86523,-1.90619,4/1/1990,17250,CS7,SHOWROOM AND PREMISES,2/18/2012,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«5,646.50 ",
37,Shorts Industries Limited,"6, Station Road, Canal Rd-Queens Rd, Bradford, BD1 4SF",BD1 4SF,53.80903,-1.75737,1/3/1995,71000,IF3,,3/8/2019,Y,Occupied,,,,,,,,,," ‹¨«24,833.70 ",
38,Babycare (Bradford) Limited,"Unit 1, Oxford Works, Dudley Hill Road, Bradford, BD2 3AA",BD2 3AA,53.80949,-1.73029,4/1/1990,11250,CW3,STORE AND PREMISES,4/1/2009,Y,Occupied,,,,,,,,,," ‹¨«5,523.75 ",
39,The Secretary Keighley Golf Club,"Keighley Golf Club, Howden Park, Silsden, BD20 6DH",BD20 6DH,53.88768,-1.91658,4/1/1990,57000,LS2,,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«28,728.00 ",
40,Bellissimo Workspace Limited,"Unit 31, Dalton Mills, Dalton Lane, Keighley, BD21 4JH",BD21 4JH,53.86922,-1.89439,8/15/1995,1350,CO,OFFICES AND PREMISES,5/15/2013,Y,Occupied,,,Small Business Rates Relief,1/4/2014,,,,,, ‹¨«-   ,
41,Mectec,"Ingrow Bridge, South Street, Keighley, BD21 5AX",BD21 5AX,53.85454,-1.91573,4/1/1990,7600,IF3,WORKSHOP AND PREMISES,2/25/1995,Y,Occupied,,,Small Business Rates Relief,1/4/2007,,,,,, ‹¨«-   ,
42,Keighley & Worth Valley Railway Preservation Society Limited,"Keighley And, Worth Valley Railway, Station Road, Haworth, Keighley, BD22 8NJ",BD22 8NJ,53.83122,-1.94873,4/1/1990,100000,LX,HERITAGE RAILWAY AND PREMISES,4/1/1990,Y,Occupied,,,Mandatory Charity Relief,13/07/2010,,,,,," ‹¨«8,181.39 ",
43,Tunnacliffe & Lambert Limited,"18, Station Road, Clayton, Bradford, BD14 6JA",BD14 6JA,53.78154,-1.81826,4/1/1990,6000,CS,,10/1/2015,Y,Occupied,,,,,,,,,," ‹¨«2,228.27 ",
44,Medical Centre,"81, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81357,-1.79159,5/15/1998,45000,MH,SURGERY AND PREMISES,5/15/1998,Y,Occupied,,,,,,,,,," ‹¨«22,095.00 ",
45,The Governing Body,"Sandy Lane Primary School, Cottingley Road, Bradford, BD15 9JU",BD15 9JU,53.81695,-1.83194,4/1/1990,48000,EL,,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«23,568.00 ",
46,Priestley & Webb Ltd,"318, Keighley Road, Bradford, BD9 4EX",BD9 4EX,53.82016,-1.77448,4/1/1990,5000,CS,SHOP AND PREMISES,9/15/2015,Y,Occupied,,,Small Business Rates Relief,15/09/2015,,,,,, ‹¨«-   ,
47,Central Motor Company,"129, Great Horton Road, Bradford, BD7 1QG",BD7 1QG,53.78813,-1.76987,4/11/1994,14000,CX,LAND USED FOR DISPLAY AND PREMISES,4/1/2019,Y,Occupied,,,Small Business Rates Relief,1/4/2019,,,Retail Discount,,," ‹¨«3,055.11 ",
48,Myers Building Supplies Ltd,"Old Cornmill, Keighley Road, Silsden, BD20 0DY",BD20 0DY,53.91028,-1.93852,4/1/1990,54000,CW,,4/1/1990,Y,Occupied,,,,,,,,,," ‹¨«26,366.62 ",Yes